1462795663115552	856	43	72	03	2e	ac	c4	55588
1462795663116561	858	c2	69	5f	59	72	bd	55707
1462795663139497	860	9d	01	2a	00	02	00	55805
1462795663141493	862	c6	ef	58	dd	eb	1b	55924
1462795663142501	864	f0	ae	c0	8e	a1	02	56043
1462795663143502	866	77	e8	28	83	0a	63	56162
1462795663144504	868	c9	f5	aa	02	20	d9	56281
1462795663144611	869	31	77	2d	6a	c2	d0	56400
1462795663169563	871	1e	4f	58	b9	24	d9	56519
1462795663169683	872	df	b6	61	70	cc	97	56638
1462795663171577	874	4e	96	44	01	30	0e	56757
1462795663189557	876	9d	01	2a	00	02	00	56830
1462795663189706	877	c6	ef	58	dd	eb	1b	56949
1462795663189867	878	f0	ae	c0	8e	a1	02	57068
1462795663199574	880	77	e8	28	83	0a	63	57187
1462795663199712	881	c9	f5	aa	02	20	d9	57306
1462795663217579	883	31	77	2d	6a	c2	d0	57425
1462795663218558	885	df	b6	61	70	cc	97	57544
1462795663227576	888	1e	4f	58	b9	24	d9	57663
1462795663228527	890	df	b6	61	70	cc	97	57782
1462795663246542	893	4e	96	44	01	30	0e	57901
1462795663247060	894	9d	01	2a	00	02	00	57974
1462795663255545	896	c6	ef	58	dd	eb	1b	58095
1462795663255683	897	f0	ae	c0	8e	a1	02	58216
1462795663256581	899	77	e8	28	83	0a	63	58337
1462795663274591	901	c9	f5	aa	02	20	d9	58458
1462795663275577	903	31	77	2d	6a	c2	d0	58579
1462795663275681	904	1e	4f	58	b9	24	d9	58700
1462795663283575	906	df	b6	61	70	cc	97	58821
1462795663284559	908	4e	96	44	01	30	0e	58942
1462795663297006	910	9d	01	2a	00	02	00	59017
1462795663302528	912	c6	ef	58	dd	eb	1b	59138
1462795663303531	914	f0	ae	c0	8e	a1	02	59259
1462795663304530	916	77	e8	28	83	0a	63	59380
1462795663311596	918	c9	f5	aa	02	20	d9	59501
1462795663312582	920	31	77	2d	6a	c2	d0	59622
1462795663330598	922	1e	4f	58	b9	24	d9	59743
1462795663330698	923	df	b6	61	70	cc	97	59864
